ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
META,Meta,"Meta Platforms: AI continues to drive revenue, but is the stock a buy? - The Motley Fool Australia","Meta Platforms: AI continues to drive revenue, but is the stock a buy?  The Motley Fool Australia","Meta Platforms: AI continues to drive revenue, but is the stock a buy? - The Motley Fool Australia. Meta Platforms: AI continues to drive revenue, but is the stock a buy?  The Motley Fool Australia",AI,0.99999726,neutral,2025-05-05 01:04:00
META,Meta,"Nvidia stock set for rebound as Meta, Amazon, and Google go all-in on AI - Fingerlakes1.com","Nvidia stock set for rebound as Meta, Amazon, and Google go all-in on AI  Fingerlakes1.com","Nvidia stock set for rebound as Meta, Amazon, and Google go all-in on AI - Fingerlakes1.com. Nvidia stock set for rebound as Meta, Amazon, and Google go all-in on AI  Fingerlakes1.com",AI,0.99999595,neutral,2025-05-05 00:37:18
META,Meta,"Meta Platforms: AI Continues to Drive Revenue, but Is the Stock a Buy? - The Motley Fool","Meta Platforms: AI Continues to Drive Revenue, but Is the Stock a Buy?  The Motley Fool","Meta Platforms: AI Continues to Drive Revenue, but Is the Stock a Buy? - The Motley Fool. Meta Platforms: AI Continues to Drive Revenue, but Is the Stock a Buy?  The Motley Fool",AI,0.99999714,neutral,2025-05-04 11:30:00
META,Meta,AI stock prediction: where will Meta stock and Amazon stock be in 2025 - Markets.com,AI stock prediction: where will Meta stock and Amazon stock be in 2025  Markets.com,AI stock prediction: where will Meta stock and Amazon stock be in 2025 - Markets.com. AI stock prediction: where will Meta stock and Amazon stock be in 2025  Markets.com,AI,-0.99999905,negative,2025-05-03 15:20:24
META,Meta,Microsoft and Meta beat estimates as AI outpaces Trump's tariff woes - Yahoo Finance,Microsoft and Meta beat estimates as AI outpaces Trump's tariff woes  Yahoo Finance,Microsoft and Meta beat estimates as AI outpaces Trump's tariff woes - Yahoo Finance. Microsoft and Meta beat estimates as AI outpaces Trump's tariff woes  Yahoo Finance,AI,1.0,neutral,2025-05-03 13:29:41
META,Meta,Should You Hold NVIDIA Stock as Meta & Microsoft Double Down on AI? - Yahoo Finance,Should You Hold NVIDIA Stock as Meta & Microsoft Double Down on AI?  Yahoo Finance,Should You Hold NVIDIA Stock as Meta & Microsoft Double Down on AI? - Yahoo Finance. Should You Hold NVIDIA Stock as Meta & Microsoft Double Down on AI?  Yahoo Finance,AI,-0.99989533,negative,2025-05-02 19:00:00
META,Meta,Magnificent Seven Stocks To Watch In May 2025 - Investor's Business Daily,Magnificent Seven Stocks To Watch In May 2025  Investor's Business Daily,Magnificent Seven Stocks To Watch In May 2025 - Investor's Business Daily. Magnificent Seven Stocks To Watch In May 2025  Investor's Business Daily,AI,-0.9999559,negative,2025-05-02 16:45:00
META,Meta,12 Top Analysts Agree META Stock is a Buy Post Stellar Q1 Results - The Globe and Mail,12 Top Analysts Agree META Stock is a Buy Post Stellar Q1 Results  The Globe and Mail,12 Top Analysts Agree META Stock is a Buy Post Stellar Q1 Results - The Globe and Mail. 12 Top Analysts Agree META Stock is a Buy Post Stellar Q1 Results  The Globe and Mail,AI,1.0,neutral,2025-05-02 11:34:00
META,Meta,Meta earnings this week showed its quiet AI revolution - TradingView,Meta earnings this week showed its quiet AI revolution  TradingView,Meta earnings this week showed its quiet AI revolution - TradingView. Meta earnings this week showed its quiet AI revolution  TradingView,AI,-0.9819479,negative,2025-05-02 11:23:05
META,Meta,The AI revolution is an advertising revolution: Morning Brief - Yahoo Finance,The AI revolution is an advertising revolution: Morning Brief  Yahoo Finance,The AI revolution is an advertising revolution: Morning Brief - Yahoo Finance. The AI revolution is an advertising revolution: Morning Brief  Yahoo Finance,AI,-0.98068297,negative,2025-05-02 10:00:01
META,Meta,"Stock market today: Nasdaq surges as AI trade reignites amid Big Tech earnings, Dow, S&P 500 rise for 8th day - Yahoo Finance","Stock market today: Nasdaq surges as AI trade reignites amid Big Tech earnings, Dow, S&P 500 rise for 8th day  Yahoo Finance","Stock market today: Nasdaq surges as AI trade reignites amid Big Tech earnings, Dow, S&P 500 rise for 8th day - Yahoo Finance. Stock market today: Nasdaq surges as AI trade reignites amid Big Tech earnings, Dow, S&P 500 rise for 8th day  Yahoo Finance",AI,0.956321,neutral,2025-05-01 23:06:08
META,Meta,"Markets News, May 1, 2025: S&P 500, Dow Rise for 8th Straight Day as Strong Earnings from Microsoft, Meta Boost AI Stocks; Jobs Report Comes Friday - Investopedia","Markets News, May 1, 2025: S&P 500, Dow Rise for 8th Straight Day as Strong Earnings from Microsoft, Meta Boost AI Stocks; Jobs Report Comes Friday  Investopedia","Markets News, May 1, 2025: S&P 500, Dow Rise for 8th Straight Day as Strong Earnings from Microsoft, Meta Boost AI Stocks; Jobs Report Comes Friday - Investopedia. Markets News, May 1, 2025: S&P 500, Dow Rise for 8th Straight Day as Strong Earnings from Microsoft, Meta Boost AI Stocks; Jobs Report Comes Friday  Investopedia",AI,0.9999982,neutral,2025-05-01 22:22:08
META,Meta,Meta (META) Stock Jumps on Strong Earnings and AI Advancements - GuruFocus,Meta (META) Stock Jumps on Strong Earnings and AI Advancements  GuruFocus,Meta (META) Stock Jumps on Strong Earnings and AI Advancements - GuruFocus. Meta (META) Stock Jumps on Strong Earnings and AI Advancements  GuruFocus,AI,1.0,neutral,2025-05-01 22:07:10
META,Meta,"Nvidia stock rises to lead chip gains after Meta, Microsoft back AI investment plans - Yahoo Finance","Nvidia stock rises to lead chip gains after Meta, Microsoft back AI investment plans  Yahoo Finance","Nvidia stock rises to lead chip gains after Meta, Microsoft back AI investment plans - Yahoo Finance. Nvidia stock rises to lead chip gains after Meta, Microsoft back AI investment plans  Yahoo Finance",AI,0.99999905,neutral,2025-05-01 20:15:17
