Date,Adj Close,Close,High,Low,Open,Volume
2018-01-02,48.8070068359375,53.040000915527344,53.060001373291016,51.220001220703125,51.68000030517578,9819500
2018-01-03,49.67198944091797,53.97999954223633,54.279998779296875,53.189998626708984,53.540000915527344,10898900
2018-01-04,49.95724105834961,54.290000915527344,54.939998626708984,53.97999954223633,54.5,9462800
2018-01-05,50.24250030517578,54.599998474121094,54.90999984741211,54.220001220703125,54.650001525878906,10902200
2018-01-08,51.457157135009766,55.91999816894531,56.45000076293945,54.970001220703125,55.0099983215332,12658000
2018-01-09,50.48176193237305,54.86000061035156,56.18000030517578,54.040000915527344,56.16999816894531,13564900
2018-01-10,49.0462532043457,53.29999923706055,54.11000061035156,52.560001373291016,54.09000015258789,14537200
2018-01-11,48.95423889160156,53.20000076293945,53.529998779296875,52.619998931884766,53.470001220703125,10694200
2018-01-12,49.184295654296875,53.45000076293945,54.0,53.08000183105469,53.2400016784668,9072300
2018-01-16,50.150474548339844,54.5,55.400001525878906,54.0099983215332,54.81999969482422,14385000
2018-01-17,52.763832092285156,57.34000015258789,57.52000045776367,55.470001220703125,55.709999084472656,17924200
2018-01-18,52.81904220581055,57.400001525878906,58.630001068115234,56.68000030517578,56.75,17677700
2018-01-19,52.81904220581055,57.400001525878906,57.720001220703125,56.220001220703125,57.70000076293945,11458700
2018-01-22,52.87425231933594,57.459999084472656,57.529998779296875,56.869998931884766,57.470001220703125,11479800
2018-01-23,53.17792510986328,57.790000915527344,58.18000030517578,57.18000030517578,57.880001068115234,8813500
2018-01-24,52.340545654296875,56.880001068115234,57.41999816894531,56.36000061035156,57.31999969482422,11787300
2018-01-25,51.30992889404297,55.7599983215332,58.72999954223633,55.459999084472656,58.18000030517578,15271900
2018-01-26,52.56139373779297,57.119998931884766,57.119998931884766,55.93000030517578,56.41999816894531,11253500
2018-01-29,50.91423797607422,55.33000183105469,56.91999816894531,54.81999969482422,56.72999954223633,12350600
2018-01-30,49.119876861572266,53.380001068115234,54.33000183105469,53.209999084472656,54.279998779296875,14603700
2018-01-31,49.349918365478516,53.630001068115234,54.13999938964844,52.90999984741211,53.68000030517578,13166800
2018-02-01,49.027870178222656,53.279998779296875,54.18000030517578,52.93000030517578,53.15999984741211,9706000
2018-02-02,46.63536071777344,50.68000030517578,52.790000915527344,50.52000045776367,52.58000183105469,16813100
2018-02-05,44.45449447631836,48.310001373291016,51.470001220703125,48.310001373291016,49.97999954223633,17999700
2018-02-06,46.23967742919922,50.25,50.2599983215332,46.400001525878906,47.40999984741211,21455700
2018-02-07,44.80415725708008,48.689998626708984,50.58000183105469,48.66999816894531,49.869998931884766,14763400
2018-02-08,42.09880447387695,45.75,49.150001525878906,45.7400016784668,48.97999954223633,19922900
2018-02-09,44.24285888671875,48.08000183105469,48.5,45.130001068115234,46.84000015258789,22648200
2018-02-12,45.54951858520508,49.5,49.880001068115234,48.40999984741211,48.959999084472656,16326100
2018-02-13,45.59552764892578,49.54999923706055,49.650001525878906,48.5,49.2599983215332,12878600
2018-02-14,47.813201904296875,51.959999084472656,52.119998931884766,49.150001525878906,49.400001525878906,22166600
2018-02-15,49.68119812011719,53.9900016784668,54.0,50.58000183105469,52.15999984741211,26888200
2018-02-16,50.638187408447266,55.029998779296875,56.09000015258789,53.66999816894531,53.79999923706055,27810900
2018-02-20,52.23301315307617,56.65999984741211,57.36000061035156,54.349998474121094,54.7400016784668,22000700
2018-02-21,51.74443054199219,56.130001068115234,57.34000015258789,56.08000183105469,57.0,16464300
2018-02-22,51.68912124633789,56.06999969482422,56.97999954223633,55.810001373291016,56.4900016784668,14924600
2018-02-23,52.555667877197266,57.0099983215332,57.130001068115234,56.310001373291016,56.59000015258789,13532400
2018-02-26,54.21503448486328,58.810001373291016,59.0,57.34000015258789,57.52000045776367,14822200
2018-02-27,53.13644790649414,57.63999938964844,58.900001525878906,57.630001068115234,58.63999938964844,13102700
2018-02-28,53.090354919433594,57.59000015258789,58.77000045776367,57.58000183105469,57.900001525878906,13152700
2018-03-01,52.610984802246094,57.06999969482422,58.439998626708984,56.119998931884766,57.540000915527344,17330200
2018-03-02,53.49598693847656,58.029998779296875,58.13999938964844,55.119998931884766,55.900001525878906,15719300
2018-03-05,53.12722396850586,57.630001068115234,58.41999816894531,57.11000061035156,57.310001373291016,13326700
2018-03-06,55.30283737182617,59.9900016784668,60.18000030517578,58.099998474121094,58.31999969482422,23269600
2018-03-07,54.77737808227539,59.41999816894531,60.09000015258789,58.599998474121094,59.099998474121094,17284000
2018-03-08,54.73128128051758,59.369998931884766,59.90999984741211,59.0,59.7599983215332,12223400
2018-03-09,56.7962646484375,61.61000061035156,61.7599983215332,59.470001220703125,59.709999084472656,18066500
2018-03-12,56.206260681152344,60.970001220703125,62.400001525878906,60.880001068115234,61.90999984741211,16207800
2018-03-13,55.026275634765625,59.689998626708984,62.2400016784668,59.4900016784668,61.380001068115234,15676500
2018-03-14,55.52409744262695,60.22999954223633,60.709999084472656,59.38999938964844,59.9900016784668,11896400
2018-03-15,55.5701789855957,60.279998779296875,61.2400016784668,59.59000015258789,60.400001525878906,11944200
2018-03-16,54.79581069946289,59.439998626708984,60.52000045776367,59.22999954223633,60.380001068115234,15070200
2018-03-19,53.92925262451172,58.5,59.08000183105469,57.470001220703125,58.81999969482422,13747300
2018-03-20,54.60221862792969,59.22999954223633,59.52000045776367,58.31999969482422,58.41999816894531,8527300
2018-03-21,56.03111267089844,60.779998779296875,61.56999969482422,59.459999084472656,59.59000015258789,17171400
