ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
AMZN,Amazon,"ESG Planning DBA Harper Investing Decreases Stock Holdings in Amazon.com, Inc. (NASDAQ:AMZN) - Defense World","ESG Planning DBA Harper Investing Decreases Stock Holdings in Amazon.com, Inc. (NASDAQ:AMZN)  Defense World","ESG Planning DBA Harper Investing Decreases Stock Holdings in Amazon.com, Inc. (NASDAQ:AMZN) - Defense World. ESG Planning DBA Harper Investing Decreases Stock Holdings in Amazon.com, Inc. (NASDAQ:AMZN)  Defense World",ESG,-0.99440455,negative,2025-04-29 08:23:24
AMZN,Amazon,Amazon Backs X-Energy in $700M Funding Round to Scale Advanced Nuclear for Clean Power - ESG News,Amazon Backs X-Energy in $700M Funding Round to Scale Advanced Nuclear for Clean Power  ESG News,Amazon Backs X-Energy in $700M Funding Round to Scale Advanced Nuclear for Clean Power - ESG News. Amazon Backs X-Energy in $700M Funding Round to Scale Advanced Nuclear for Clean Power  ESG News,ESG,-0.99929976,negative,2025-02-07 08:00:00
AMZN,Amazon,ESG round-up: Amazon hit by AI emissions proposal - Responsible Investor,ESG round-up: Amazon hit by AI emissions proposal  Responsible Investor,ESG round-up: Amazon hit by AI emissions proposal - Responsible Investor. ESG round-up: Amazon hit by AI emissions proposal  Responsible Investor,ESG,-0.9999845,negative,2025-01-30 08:00:00
AMZN,Amazon,"Silvania, Conservation International, and TNC Launch $1.5 Billion Amazon Protection Fund at WEF Davos - ESG News","Silvania, Conservation International, and TNC Launch $1.5 Billion Amazon Protection Fund at WEF Davos  ESG News","Silvania, Conservation International, and TNC Launch $1.5 Billion Amazon Protection Fund at WEF Davos - ESG News. Silvania, Conservation International, and TNC Launch $1.5 Billion Amazon Protection Fund at WEF Davos  ESG News",ESG,-0.99997175,negative,2025-01-22 08:00:00
AMZN,Amazon,Amazon Business Q&A: Why Procurement Needs ESG - Sustainability Magazine,Amazon Business Q&A: Why Procurement Needs ESG  Sustainability Magazine,Amazon Business Q&A: Why Procurement Needs ESG - Sustainability Magazine. Amazon Business Q&A: Why Procurement Needs ESG  Sustainability Magazine,ESG,-0.9999819,negative,2025-01-16 08:00:00
AMZN,Amazon,"Meta joins chorus of DEI rollbacks, cutting roles and programs - ESG Dive","Meta joins chorus of DEI rollbacks, cutting roles and programs  ESG Dive","Meta joins chorus of DEI rollbacks, cutting roles and programs - ESG Dive. Meta joins chorus of DEI rollbacks, cutting roles and programs  ESG Dive",ESG,-0.9998425,negative,2025-01-13 08:00:00
AMZN,Amazon,CRM: 3 ESG Stocks That Align Profits With Purpose - StockNews,CRM: 3 ESG Stocks That Align Profits With Purpose  StockNews,CRM: 3 ESG Stocks That Align Profits With Purpose - StockNews. CRM: 3 ESG Stocks That Align Profits With Purpose  StockNews,ESG,-0.99999595,negative,2024-12-24 19:28:51
AMZN,Amazon,Best ESG ETFs: Top Funds For Socially Responsible Investing - Bankrate,Best ESG ETFs: Top Funds For Socially Responsible Investing  Bankrate,Best ESG ETFs: Top Funds For Socially Responsible Investing - Bankrate. Best ESG ETFs: Top Funds For Socially Responsible Investing  Bankrate,ESG,-0.99941397,negative,2024-12-19 08:00:00
AMZN,Amazon,Ecuador Secures $1.5 Billion Debt Swap to Fund Amazon Conservation - ESG News,Ecuador Secures $1.5 Billion Debt Swap to Fund Amazon Conservation  ESG News,Ecuador Secures $1.5 Billion Debt Swap to Fund Amazon Conservation - ESG News. Ecuador Secures $1.5 Billion Debt Swap to Fund Amazon Conservation  ESG News,ESG,-0.9998443,negative,2024-12-17 08:00:00
AMZN,Amazon,Amazon's CEO Shares Top Five Sustainability Initiatives - Sustainability Magazine,Amazon's CEO Shares Top Five Sustainability Initiatives  Sustainability Magazine,Amazon's CEO Shares Top Five Sustainability Initiatives - Sustainability Magazine. Amazon's CEO Shares Top Five Sustainability Initiatives  Sustainability Magazine,ESG,0.9776945,neutral,2024-10-29 07:00:00
